date,average,industry
1981-01,1.815,Industrials
1981-02,1.751,Industrials
1981-03,1.844,Industrials
1981-04,1.865,Industrials
1981-05,1.892,Industrials
1981-06,1.895,Industrials
1981-07,1.785,Industrials
1981-08,1.736,Industrials
1981-09,1.559,Industrials
1981-10,1.581,Industrials
1981-11,1.606,Industrials
1981-12,1.783,Industrials
1982-01,1.69,Industrials
1982-02,1.688,Industrials
1982-03,1.591,Industrials
1982-04,1.662,Industrials
1982-05,1.661,Industrials
1982-06,1.566,Industrials
1982-07,1.645,Industrials
1982-08,1.715,Industrials
1982-09,1.942,Industrials
1982-10,2.07,Industrials
1982-11,2.202,Industrials
1982-12,2.26,Industrials
1983-01,2.397,Industrials
1983-02,2.476,Industrials
1983-03,2.6,Industrials
1983-04,2.755,Industrials
1983-05,2.866,Industrials
1983-06,3.031,Industrials
1983-07,2.965,Industrials
1983-08,2.801,Industrials
1983-09,2.894,Industrials
1983-10,2.963,Industrials
1983-11,2.998,Industrials
1983-12,3.046,Industrials
1984-01,3.099,Industrials
1984-02,2.856,Industrials
1984-03,2.769,Industrials
1984-04,2.797,Industrials
1984-05,2.856,Industrials
1984-06,2.903,Industrials
1984-07,2.9,Industrials
1984-08,3.285,Industrials
1984-09,3.314,Industrials
1984-10,3.251,Industrials
1984-11,3.32,Industrials
1984-12,3.238,Industrials
1985-01,3.38,Industrials
1985-02,3.715,Industrials
1985-03,3.705,Industrials
1985-04,3.742,Industrials
1985-05,3.792,Industrials
1985-06,3.99,Industrials
1985-07,4.184,Industrials
1985-08,4.13,Industrials
1985-09,3.983,Industrials
1985-10,3.814,Industrials
1985-11,4.004,Industrials
1985-12,4.203,Industrials
1986-01,4.136,Industrials
1986-02,4.39,Industrials
1986-03,4.747,Industrials
1986-04,4.775,Industrials
1986-05,4.75,Industrials
1986-06,4.794,Industrials
1986-07,4.584,Industrials
1986-08,4.541,Industrials
1986-09,4.398,Industrials
1986-10,4.32,Industrials
1986-11,4.391,Industrials
1986-12,4.524,Industrials
1987-01,4.708,Industrials
1987-02,4.933,Industrials
1987-03,5.08,Industrials
1987-04,4.988,Industrials
1987-05,4.78,Industrials
1987-06,4.98,Industrials
1987-07,5.246,Industrials
1987-08,5.69,Industrials
1987-09,5.548,Industrials
1987-10,4.821,Industrials
1987-11,3.982,Industrials
1987-12,3.857,Industrials
1988-01,4.07,Industrials
1988-02,4.207,Industrials
1988-03,4.345,Industrials
1988-04,4.252,Industrials
1988-05,4.254,Industrials
1988-06,4.554,Industrials
1988-07,4.6,Industrials
1988-08,4.457,Industrials
1988-09,4.524,Industrials
1988-10,4.756,Industrials
1988-11,4.688,Industrials
1988-12,4.638,Industrials
1989-01,4.679,Industrials
1989-02,4.843,Industrials
1989-03,4.858,Industrials
1989-04,4.981,Industrials
1989-05,5.264,Industrials
1989-06,5.324,Industrials
1989-07,5.356,Industrials
1989-08,5.606,Industrials
1989-09,5.61,Industrials
1989-10,5.49,Industrials
1989-11,5.319,Industrials
1989-12,5.541,Industrials
1990-01,5.575,Industrials
1990-02,5.504,Industrials
1990-03,5.794,Industrials
1990-04,5.864,Industrials
1990-05,6.125,Industrials
1990-06,6.49,Industrials
1990-07,6.445,Industrials
1990-08,5.716,Industrials
1990-09,5.283,Industrials
1990-10,5.132,Industrials
1990-11,5.233,Industrials
1990-12,5.551,Industrials
1991-01,5.61,Industrials
1991-02,6.31,Industrials
1991-03,6.441,Industrials
